<< Inhaltsverzeichnis;;;;;;;;;;
"Statistische Wochenberichte
Veränderungen in %";;;;;;;;;;
;Vergleich;;;;;;;;;
;  2019  ;  2020  ;1. Vj 20;2. Vj 20;3. Vj 20;4. Vj 20;1. Vj 20;2. Vj 20;3. Vj 20;4. Vj 20
;gegenüber Vorjahr;;gegenüber Vorjahresquartal;;;;gegenüber Vorquartal;;;
Verdienste und Arbeitskosten;;;;;;;;;;
Früheres Bundesgebiet und Berlin;;;;;;;;;;
Bezahlte Wochenarbeitszeit;;;;;;;;;;
Vollzeitbeschäftigte Arbeitnehmer/-innen;;;;;;;;;;
Produzierendes Gewerbe und Dienstleistungsbereich ;0;-3.069054;-0.257069;-6.138107;-3.061224;-2.30179;-0.767263;-5.412371;3.542234;0.526316
Männer ;0;-3.061224;-0.512821;-6.377551;-3.053435;-2.295918;-1.020408;-5.412371;3.814714;0.524934
Frauen ;0;-2.835052;-0.515464;-5.670103;-2.570694;-2.319588;-0.515464;-5.181347;3.551913;0
Produzierendes Gewerbe ;0;-3.636364;-0.262467;-7.772021;-3.875969;-2.337662;-1.298701;-6.315789;4.494382;1.075269
Männer ;-0.258398;-3.626943;-0.52356;-7.751938;-3.865979;-2.331606;-1.554404;-6.052632;4.481793;1.072386
Frauen ;-0.263158;-3.693931;-0.26455;-8.157895;-4.210526;-2.894737;-0.789474;-7.427056;4.297994;1.373626
;;;;;;;;;;
Bergbau und Gewinnung von Steinen und Erden ;-1.216545;-0.738916;-0.247525;-1.719902;-0.488998;-0.738916;-0.738916;-0.744417;1.75;-0.982801
Männer ;-0.970874;-0.735294;-0.246914;-1.715686;-0.243309;-0.737101;-0.737101;-0.742574;2.244389;-1.463415
Frauen ;0.512821;-1.27551;1.023018;-2.55102;-2.040816;-0.767263;1.023018;-3.291139;0.52356;1.041667
Verarbeitendes Gewerbe ;-0.261097;-4.712042;-0.78534;-9.921671;-4.960836;-3.141361;-0.78534;-8.970976;5.507246;1.648352
Männer ;-0.260417;-4.699739;-1.044386;-10.15625;-5.208333;-3.133159;-1.044386;-8.970976;5.507246;1.923077
Frauen ;0;-4.497354;-0.530504;-8.994709;-5.013193;-3.174603;-0.793651;-8.266667;4.651163;1.666667
Energieversorgung ;0.25974;-0.518135;0;-0.777202;-0.518135;-0.518135;-0.259067;-0.519481;0.261097;0
Männer ;0.25974;-0.259067;-0.259067;-0.518135;-0.518135;-0.259067;-0.259067;-0.25974;0;0.260417
Frauen ;0;-0.261097;0;-0.522193;-0.261097;0;0.26178;-0.522193;0.262467;0
Wasserversorgung1 ............................................................................................................................................;-0.246914;-0.742574;0.249377;-1.485149;-0.740741;-0.742574;-0.49505;-0.995025;1.005025;-0.248756
Männer ;-0.246305;-0.740741;0;-1.477833;-0.738916;-0.738916;-0.738916;-0.744417;0.75;0
Frauen ;0;-0.511509;0.25641;-1.025641;-0.510204;-0.510204;-0.255102;-1.278772;1.036269;0
Baugewerbe ;-0.253807;-0.508906;1.06383;-1.259446;-0.995025;-1.007557;-4.282116;3.157895;1.530612;-1.256281
Männer ;-0.253807;-0.508906;1.066667;-1.507538;-0.992556;-1.256281;-4.773869;3.430079;1.785714;-1.503759
Frauen ;0.25641;-0.767263;-0.514139;-1.534527;-0.510204;-0.511509;-1.023018;-0.516796;1.298701;-0.25641
Dienstleistungsbereich ;0;-2.538071;-0.507614;-5.329949;-2.531646;-2.531646;-0.759494;-4.846939;3.217158;0
Männer ;0.252525;-2.770781;-0.505051;-5.30303;-2.267003;-2.267003;-0.755668;-4.822335;3.466667;0
Frauen ;0;-2.564103;-0.512821;-5.128205;-2.30179;-2.307692;-0.512821;-4.639175;3.243243;-0.26178
Handel2 ............................................................................................................................................;0;-3.299492;-0.508906;-8.121827;-2.284264;-2.284264;-0.761421;-7.41688;6.353591;0
Männer ;0;-3.274559;-0.505051;-7.808564;-2.267003;-2.015113;-0.755668;-7.106599;6.010929;0.257732
Frauen ;0;-3.608247;-0.516796;-9.020619;-2.319588;-2.319588;-0.773196;-8.311688;7.365439;0
Verkehr und Lagerei ;0;-2.977667;-0.248756;-5.955335;-3.209877;-2.475248;-0.742574;-5.486284;3.430079;0.510204
Männer ;0;-2.70936;-0.493827;-5.91133;-3.186275;-2.211302;-0.982801;-5.210918;3.403141;0.759494
Frauen ;0.257069;-3.846154;0;-6.666667;-4.347826;-3.589744;-0.25641;-6.426735;2.747253;0.534759
Gastgewerbe ;0.252525;-19.395466;-4.303797;-34.760705;-13.567839;-26.952141;-4.785894;-31.481481;32.818533;-15.697674
Männer ;0.251889;-19.095477;-4.282116;-33.668342;-13.533835;-27.318296;-4.761905;-30.526316;30.681818;-15.942029
Frauen ;0;-19.543147;-4.071247;-36.294416;-12.911392;-26.649746;-4.314721;-33.421751;37.051793;-15.988372
Information und Kommunikation ;-0.254453;-1.785714;0;-3.826531;-2.544529;-1.020408;0;-3.826531;1.591512;1.305483
Männer ;-0.253807;-1.526718;0.254453;-3.562341;-2.284264;-1.017812;0.254453;-3.807107;1.583113;1.038961
Frauen ;0;-2.313625;0;-4.884319;-3.333333;-2.051282;-0.25641;-4.884319;1.891892;1.32626
;;;;;;;;;;
Erbringung von Finanz- und Versicherungsdienstleistungen ;0;-0.259067;0;-0.777202;-0.259067;-0.259067;0;-0.777202;0.522193;0
Männer ;0.259067;-0.258398;0;-0.775194;-0.258398;-0.258398;0;-0.775194;0.520833;0
Frauen ;0;-0.260417;0;-0.78125;-0.260417;0;0.260417;-1.038961;0.524934;0.261097
Grundstücks- und Wohnungswesen ;0;-1.028278;0;-2.313625;-1.025641;-0.769231;-0.512821;-2.061856;1.578947;0.259067
Männer ;0;-1.023018;-0.255754;-1.794872;-0.765306;-1.017812;-0.763359;-1.794872;1.56658;0
Frauen ;0;-1.036269;0;-2.583979;-1.033592;-0.775194;-0.516796;-2.077922;1.591512;0.261097
Erbringung von freiberuflichen, wissenschaftlichen und ;;;;;;;;;;
technischen Dienstleistungen ;-0.254453;-2.040816;0;-4.336735;-2.798982;-1.78117;-0.254453;-4.336735;1.866667;1.04712
Männer ;-0.253165;-2.284264;0;-4.314721;-3.045685;-1.77665;-0.253807;-4.071247;1.32626;1.308901
Frauen ;0;-2.051282;0;-4.358974;-2.307692;-1.282051;0;-4.358974;2.144772;1.049869
;;;;;;;;;;
Erbringung von sonstigen wirtschaftlichen Dienstleistungen ;0.518135;-5.154639;-0.519481;-10.077519;-5.641026;-4.615385;-1.794872;-9.138381;5.747126;1.086957
Männer ;0.515464;-4.871795;-0.518135;-9.511568;-4.846939;-4.3257;-2.290076;-8.333333;5.965909;0.80429
Frauen ;0.26178;-6.527415;-0.78534;-11.488251;-8.051948;-6.005222;-1.044386;-10.55409;4.424779;1.694915
;;;;;;;;;;
Öffentliche Verwaltung, Verteidigung, Sozialversicherung ;0.251256;0;0;0;0;0;0;0;0;0
Männer ;0;0;0;0;0;0;0;0;0;0
Frauen ;0;0;0;0;0;0;0;0;0;0
Erziehung und Unterricht ;-0.251256;-0.503778;0;-1.007557;-0.503778;-0.502513;-0.251256;-1.007557;0.508906;0.253165
Männer ;-0.250627;-0.502513;0;-1.256281;-0.75188;-0.75188;-0.250627;-1.256281;0.763359;0
