<< Inhaltsverzeichnis;;;;;;;;;;
"Statistische Wochenberichte
Veränderungen in %";;;;;;;;;;
;Vergleich;;;;;;;;;
;  2019  ;  2020  ;Nov. 20 ;Dez. 20 ;Jan. 21 ;Feb. 21 ;Nov. 20 ;Dez. 20 ;Jan. 21 ;Feb. 21 
;gegenüber Vorjahr;;gegenüber Vorjahresmonat;;;;gegenüber Vormonat;;;
Verkehr;;;;;;;;;;
noch: Personenverkehr ;;;;;;;;;;
Beförderte Personen;;;;;;;;;;
Luftverkehr ;1.969462;-74.509525;-90.120014;-87.670581;-88.237916;-91.238103;-57.632119;21.905638;-12.46293;-27.720831
Binnenverkehr ;-1.847378;-74.66284;-90.986865;-89.861733;-91.432782;-91.98324;-52.59016;1.273801;-23.246467;-8.988349
grenzüberschreitender Verkehr1 ........................................................................  ;2.407195;-74.503678;-90.032604;-87.43219;-87.913214;-91.158382;-58.259553;24.474869;-11.693168;-28.997194
;;;;;;;;;;
;  2019  ;  2020  ;Sep. 20 ;Okt. 20 ;Nov. 20 ;Dez. 20 ;Sep. 20 ;Okt. 20 ;Nov. 20 ;Dez. 20 
;gegenüber Vorjahr;;gegenüber Vorjahresmonat;;;;gegenüber Vormonat;;;
;;;;;;;;;;
Kraftfahrzeuge2 ;;;;;;;;;;
Zulassung fabrikneuer Kraftfahrzeuge ;5.17506;-16.309404;11.718341;-0.555138;-0.115336;12.985621;3.871158;2.383295;4.087329;5.67967
darunter:;;;;;;;;;;
Personenkraftwagen ;4.991009;-19.116459;8.4232;-3.61569;-3.001066;9.885666;5.649607;3.421974;5.777188;7.32173
Lastkraftwagen ;6.752887;-14.123035;19.07912;10.489287;3.806055;1.530772;6.654895;14.399765;-9.6478533525999999E-2;-16.304523
Besitzumschreibungen gebrauchter Kraftfahrzeuge ;0.258303;-1.298191;13.255032;3.478556;2.794708;6.340153;4.321051;-3.666119;-8.666721;-12.6663
darunter:;;;;;;;;;;
Personenkraftwagen ;4.2072122964000001E-2;-2.421437;12.048553;2.56372;2.11902;5.267737;5.442276;-1.618917;-8.305846;-12.146327
Lastkraftwagen ;7.549241;3.543509;12.881174;8.841941;-4.032303;11.335692;13.288018;0.929311;-4.382569;-8.091148
;;;;;;;;;;
;  2018  ;  2019  ;Okt. 20 ;Nov. 20 ;Dez. 20 ;Jan. 21 ;Okt. 20 ;Nov. 20 ;Dez. 20 ;Jan. 21 
;gegenüber Vorjahr;;gegenüber Vorjahresmonat;;;;gegenüber Vormonat;;;
;;;;;;;;;;
Straßenverkehrsunfälle;;;;;;;;;;
