<< Inhaltsverzeichnis;;;;;;;;;;
"Statistische Wochenberichte
Veränderungen in %";;;;;;;;;;
;Vergleich;;;;;;;;;
;  2019  ;  2020  ;1. Vj 20;2. Vj 20;3. Vj 20;4. Vj 20;1. Vj 20;2. Vj 20;3. Vj 20;4. Vj 20
;gegenüber Vorjahr;;gegenüber Vorjahresquartal;;;;gegenüber Vorquartal;;;
Verdienste und Arbeitskosten;;;;;;;;;;
Früheres Bundesgebiet und Berlin;;;;;;;;;;
Bruttostundenverdienste ohne Sonderzahlungen;;;;;;;;;;
Vollzeitbeschäftigte Arbeitnehmer/-innen;;;;;;;;;;
Energieversorgung ;3.992082;1.23731;2.487884;1.555556;0.472144;0.628141;-0.376884;0.851198;-0.218818;0.37594
Männer ;3.917791;0.957973;2.234813;1.236858;0.214592;0.305904;-0.642398;0.800493;-0.152718;0.305904
Frauen ;4.931715;2.241504;3.274467;2.53073;1.58046;1.719198;0.537249;1.033131;-0.282087;0.424328
Wasserversorgung1 ............................................................................................................................................;2.725471;2.122528;2.296043;2.267246;1.537722;2.48566;9.5602294455E-2;1.241643;-0.330189;1.467108
Männer ;2.685231;2.082324;2.205882;2.228682;1.350048;2.399232;4.7984644914000001E-2;1.199041;-0.379147;1.52236
Frauen ;3.230473;2.662307;2.945368;2.04461;2.609506;3.007867;0.277649;1.338256;0.273224;1.089918
Baugewerbe ;1.928783;2.523047;3.137255;1.943635;2.380952;2.3912;0.621712;-0.285171;0.42898;1.613669
Männer ;1.921182;2.513291;3.224231;1.937046;2.372881;2.429728;0.666984;-0.378609;0.427553;1.702933
Frauen ;1.768991;2.300613;2.010309;2.350537;3.028747;1.921132;5.0556117290000001E-2;1.212734;0.1997;0.44843
Dienstleistungsbereich ;3.692308;3.052141;3.138435;3.901612;2.451395;2.768456;0.629195;2.125886;-1.061224;1.072607
Männer ;3.488372;2.889246;2.966274;3.813729;2.402883;2.582439;0.675407;2.052092;-1.121423;0.977708
Frauen ;4.195122;3.417603;3.569729;4.166667;2.702703;3.239241;0.694123;2.251838;-0.94382;1.225045
Handel2 ............................................................................................................................................;3.043071;2.998637;2.562929;4.007286;2.864939;2.697842;0.764388;1.918786;-0.963222;0.972591
Männer ;2.504394;2.700386;2.199224;3.606698;2.572899;2.507437;0.722482;1.814346;-0.870286;0.83612
Frauen ;4.141689;4.133961;3.693931;5.249344;3.930818;3.663571;1.393189;2.035623;-1.097257;1.311145
Verkehr und Lagerei ;2.247191;3.406593;4.454343;4.240088;2.354874;2.824552;1.901141;0.906183;-1.267829;1.284109
Männer ;2.075154;3.571429;4.679666;4.29279;2.463054;2.931596;2.008686;0.851517;-1.21372;1.282051
Frauen ;3.001133;2.638813;3.161398;3.861004;1.592532;2.177463;1.252041;1.236559;-1.752523;1.459459
Gastgewerbe ;1.468531;3.445899;1.803051;6.129477;3.109883;3.959044;0.204778;4.972752;-3.179753;2.077748
Männer ;0.669344;3.856383;1.73449;6.507304;3.94385;4.74621;0.527357;5.180328;-3.054863;2.186495
Frauen ;2.609993;2.398256;1.689934;5.090909;1.741655;2.589928;-0.431655;4.407514;-2.975779;1.71184
Information und Kommunikation ;4.221547;1.976669;1.537455;2.858999;1.516129;2.123552;-0.1287;1.997423;-0.600126;0.85796
Männer ;3.872;1.756007;1.305158;2.405922;1.226618;2.083333;-0.122549;1.840491;-0.572289;0.939109
Frauen ;5.408703;3.125;2.696366;4.381543;2.608362;2.858232;0.152439;2.435312;-0.631501;0.897196
;;;;;;;;;;
Erbringung von Finanz- und Versicherungsdienstleistungen ;2.970923;2.946593;2.820831;3.007057;3.069368;2.919708;0.881995;1.205909;2.9788501637999999E-2;0.77427
Männer ;2.994866;2.409305;2.374302;2.434302;2.493075;2.390767;0.714482;1.036835;-8.1015392924999999E-2;0.702703
Frauen ;2.911877;3.574088;3.50811;3.648548;3.754647;3.497791;1.030928;1.457726;0.251437;0.716589
Grundstücks- und Wohnungswesen ;0.86785;2.502933;2.562081;2.19694;2.384676;2.7853;0.65764;0.115296;0.537428;1.450935
Männer ;1.083424;2.143623;2.820976;1.503221;2.034261;2.150159;0.211491;-0.246219;0.811001;1.364113
Frauen ;0;3.473492;2.658112;4;2.868852;4.31622;1.771922;0.982143;-0.132626;1.637893
Erbringung von freiberuflichen,  wissenschaftlichen und ;;;;;;;;;;
technischen Dienstleistungen ;3.658537;0.470588;0.507442;0.637156;0.573356;0.166778;-0.9006;1.009761;-0.633122;0.704225
Männer ;3.150343;0.514061;0.486618;0.572634;0.727934;0.391213;-0.571772;0.998789;-0.479473;0.451671
Frauen ;5.43383;0.831255;1.006711;0.954357;0.917431;0.411015;-1.027538;1.038206;-0.53432;0.950413
;;;;;;;;;;
Erbringung von sonstigen wirtschaftlichen Dienstleistungen ;5.085784;0.816327;1.828909;0.698487;0.818235;-0.230282;-0.633276;0.23175;-0.289017;0.463768
Männer ;5.027256;1.211073;2.215743;1.092582;1.272412;0.2849;-0.11396;0.285225;-0.39818;0.513992
Frauen ;5.323194;-0.180505;1.035323;-0.180505;-0.361228;-1.423488;-1.601423;0;-0.241109;0.422961
;;;;;;;;;;
Öffentliche Verwaltung, Verteidigung, Sozialversicherung ;3.63718;2.469671;4.806409;1.981904;1.153353;2.11025;1.421189;0.509554;4.2247570764999999E-2;0.126689
Männer ;3.682595;2.410148;4.735013;1.977282;0.999584;1.97479;1.302521;0.539195;4.1254125412999998E-2;8.2474226804000003E-2
Frauen ;3.583215;2.730997;5.095839;2.03252;1.527403;2.39819;1.719457;0.489324;4.4267374945E-2;0.132743
Erziehung und Unterricht ;3.535956;3.453569;5.842874;3.213466;1.696833;3.084539;2.09444;0.634092;-3.7064492216E-2;0.370782
Männer ;3.35175;3.777619;6.390011;3.736655;2.102313;2.996123;2.11491;0.621332;-3.4305317324000002E-2;0.274537
Frauen ;3.81033;3.303426;5.534591;3.006908;1.603206;3.245436;2.109533;0.715137;0;0.394477
Gesundheits- und Sozialwesen ;3.519578;2.80493;2.855907;3.15565;2.662722;2.511511;-0.502302;1.766933;0.413394;0.823384
Männer ;3.737259;2.474527;2.670623;2.885318;2.38698;2.005731;-0.859599;1.770231;0.496983;0.600495
Frauen ;3.729146;3.169347;3.225806;3.464642;3.011765;2.982293;-9.3196644920999994E-2;1.679104;0.412844;0.959342
Kunst, Unterhaltung und Erholung ;(+ 5,9);(+ 7,9);7.361456;11.489536;4.244898;9.794629;2.527646;4.661017;-5.999264;8.848865
Männer ;(+ 5,8);(+ 7,9);7.145422;11.273115;4.658606;9.544988;2.086897;4.859249;-5.944391;8.800544
Frauen ;4.553314;6.229327;6.103024;9.766926;2.803738;7.251082;2.54329;4.379947;-5.460061;5.989305
Erbringung von sonstigen Dienstleistungen ;2.802893;4.881266;3.549246;5.897887;3.994732;6.102877;1.743679;3.084833;-1.537822;2.743774
Männer ;1.126307;4.574383;3.196165;4.940239;4.333996;5.891657;2.135231;1.974448;-0.379651;2.057927
Frauen ;4.774127;5.242528;4.0715;6.971036;3.910068;6.195547;1.452081;3.959924;-2.432308;3.198495
Index der durchschnittlichen Bruttostundenverdienste;;;;;;;;;;
Vollzeitbeschäftigte Arbeitnehmer/-innen;;;;;;;;;;
