<< Inhaltsverzeichnis;;;;;;;;;;
"Statistische Wochenberichte
Veränderungen in %";;;;;;;;;;
;Vergleich;;;;;;;;;
;  2019  ;  2020  ;1. Vj 20;2. Vj 20;3. Vj 20;4. Vj 20;1. Vj 20;2. Vj 20;3. Vj 20;4. Vj 20
;gegenüber Vorjahr;;gegenüber Vorjahresquartal;;;;gegenüber Vorquartal;;;
Verdienste und Arbeitskosten;;;;;;;;;;
Deutschland;;;;;;;;;;
Bruttostundenverdienste ohne Sonderzahlungen;;;;;;;;;;
Vollzeitbeschäftigte Arbeitnehmer/-innen;;;;;;;;;;
Energieversorgung ;3.853955;1.432292;2.58535;1.527958;0.743855;0.935182;-0.193486;0.904685;-0.256164;0.481541
Männer ;3.610108;1.23535;2.419355;1.328693;0.503303;0.721682;-0.37653;0.88189;-0.249766;0.469484
Frauen ;4.652966;2.260096;3.20392;2.253417;1.769912;1.798825;0.51395;1.09569;-0.289017;0.471014
Wasserversorgung1 ............................................................................................................................................;2.508961;2.297702;2.530364;2.448776;1.640975;2.623762;0.29703;1.1846;-0.292683;1.418787
Männer ;2.568053;2.103155;2.435312;2.305764;1.395813;2.431762;0.198511;1.089648;-0.342969;1.474926
Frauen ;2.15323;3.627451;3.681592;3.372434;3.620352;3.984451;1.263362;1.487524;0.141844;1.038716
Baugewerbe ;2.153846;2.660643;2.883156;2.315048;2.665996;2.675917;0.792864;-4.9164208456000003E-2;0.393507;1.518863
Männer ;2.197241;2.65;2.97379;2.358254;2.55511;2.66535;0.839092;-0.146843;0.343137;1.612115
Frauen ;1.938611;2.694136;2.183174;2.691293;3.285639;2.507837;0.261233;1.406983;0.154162;0.667009
Dienstleistungsbereich ;3.692031;3.2132;3.39207;4.081633;2.596279;2.920962;0.816151;2.130379;-1.084689;1.054407
Männer ;3.455631;3.092784;3.174603;3.958763;2.508224;2.692778;0.775194;2.064777;-1.11067;0.962696
Frauen ;4.158416;3.564639;3.769937;4.372624;2.838221;3.383459;0.892857;2.282254;-1.001821;1.195952
Handel2 ............................................................................................................................................;3.078403;3.219785;2.725564;4.069224;3.034547;2.954755;0.923361;1.784081;-0.808989;1.042139
Männer ;2.528217;2.950242;2.526596;3.752759;2.77533;2.79354;0.960279;1.599654;-0.723404;0.942992
Frauen ;4.243439;4.01714;3.399892;4.994629;3.862661;3.754627;1.322052;2.035491;-0.971867;1.342975
Verkehr und Lagerei ;2.36584;3.100338;4.293074;3.898305;2.078652;2.28158;1.391208;0.933041;-1.196302;1.155751
Männer ;2.251732;3.218521;4.475043;3.961517;2.193476;2.339833;1.448468;0.878638;-1.088732;1.100715
Frauen ;2.875216;2.459475;3.163842;3.587444;1.451703;1.657459;0.883978;1.204819;-1.677489;1.265823
Gastgewerbe ;2.081838;3.727145;2.335456;6.61506;3.316867;4.178273;0.696379;4.771784;-3.366337;2.185792
Männer ;1.300479;4.189189;2.306649;7.022282;4.076087;4.882943;0.869565;5.106101;-3.343849;2.349869
Frauen ;2.990798;2.903946;2.253944;5.51827;2.008929;3.021371;0.294768;3.967671;-3.109541;1.969365
Information und Kommunikation ;4.328409;1.942707;1.661682;2.804355;1.475894;1.830664;0;1.863354;-0.706033;0.678733
Männer ;3.964901;1.750547;1.482182;2.409262;1.307597;1.864512;0;1.709136;-0.580507;0.737554
Frauen ;5.343828;2.909949;2.667197;4.306598;2.269171;2.369852;0.19425;2.365258;-0.984848;0.803366
;;;;;;;;;;
Erbringung von Finanz- und Versicherungsdienstleistungen ;2.882767;3.206725;3.1771;3.204729;3.330221;3.11344;1.109741;1.128049;9.0443171540999998E-2;0.753012
Männer ;2.878526;2.546167;2.511287;2.515372;2.630842;2.526374;0.860633;0.963391;-2.7262813521999999E-2;0.709026
Frauen ;2.834951;3.851964;3.906549;3.927492;3.995477;3.732736;1.26913;1.437523;0.25436;0.7249
Grundstücks- und Wohnungswesen ;1.89769;1.619433;1.79812;1.38043;1.619433;1.721377;-0.280224;0.240867;0.520625;1.23506
Männer ;2.133333;0.820589;1.547754;0.149421;0.894855;0.699043;-1.030169;-0.334572;0.932488;1.145602
Frauen ;0.889097;3.107607;2.473168;3.779748;2.5878;3.683241;1.104972;1.275046;-0.179856;1.441441
Erbringung von freiberuflichen,  wissenschaftlichen und ;;;;;;;;;;
technischen Dienstleistungen ;3.576538;0.86326;1.009047;1.137539;0.796123;0.479288;-0.616227;1.067861;-0.74983;0.789835
Männer ;2.909207;1.025163;0.96875;1.208553;1.058531;0.802965;-0.216183;1.083256;-0.61237;0.554529
Frauen ;5.438202;1.108269;1.421801;1.277139;1.025203;0.631579;-0.884211;1.062022;-0.588483;1.057082
;;;;;;;;;;
Erbringung von sonstigen wirtschaftlichen Dienstleistungen ;4.867257;1.265823;2.319902;1.204094;1.085645;0.357143;-0.238095;0.298329;-0.297442;0.596659
Männer ;4.806492;1.548541;2.472859;1.486326;1.431127;0.765156;0;0.470865;-0.351494;0.646678
Frauen ;5.173543;0.498132;1.892744;0.498442;0.249066;-0.674847;-0.920245;-0.123839;-0.185989;0.559006
;;;;;;;;;;
Öffentliche Verwaltung, Verteidigung, Sozialversicherung ;3.561767;2.525033;4.874776;2.079723;1.072041;2.032872;1.427336;0.469083;4.2444821732000003E-2;8.4853627493000003E-2
Männer ;3.661226;2.425532;4.763986;2.119542;0.921273;1.987315;1.353066;0.500626;4.1511000414999999E-2;8.2987551867000006E-2
Frauen ;3.524436;2.678166;5.081585;2.119982;1.387645;2.2553;1.668922;0.443656;4.4169611306999999E-2;8.8300220750999997E-2
Erziehung und Unterricht ;3.542994;3.460208;5.812574;3.257953;1.738473;3.130966;2.176403;0.672646;-7.4239049739999993E-2;0.334324
Männer ;3.375371;3.659849;6.206132;3.617479;1.940035;2.984014;2.131439;0.626087;-0.103699;0.311419
Frauen ;3.702146;3.407708;5.671393;3.111111;1.674641;3.350828;2.301171;0.710339;-7.8369905956000005E-2;0.392157
Gesundheits- und Sozialwesen ;3.475936;3.057709;3.15651;3.367876;2.869379;2.80017;-0.169707;1.742456;0.334169;0.874271
Männer ;3.824092;2.651934;2.775694;3.067258;2.489019;2.21255;-0.616612;1.788321;0.394407;0.642857
Frauen ;3.619236;3.397129;3.557505;3.694818;3.188958;3.253182;0.18859;1.694118;0.323924;1.01476
Kunst, Unterhaltung und Erholung ;6.498674;7.804068;6.994489;10.906812;4.870941;9.60452;1.856336;5.150555;-5.086662;7.820564
Männer ;(+ 6,4);(+ 7,7);6.605166;10.238784;5.585782;9.227543;0.978679;5.46902;-4.463407;7.351426
Frauen ;5.367561;5.924695;5.611672;9.771078;2.374379;6.960305;2.338227;4.463337;-5.696846;6.09493
Erbringung von sonstigen Dienstleistungen ;3.213787;4.693141;3.602371;5.831826;3.830554;5.764075;1.519214;3.036972;-1.580521;2.734375
Männer ;1.491301;4.408163;3.077554;4.824203;4.122449;5.508303;1.741596;2.070064;-0.50702;2.116817
Frauen ;5.063291;5.070281;4.228222;6.740443;3.703704;5.844477;1.337296;3.714565;-2.356268;3.137066
Index der durchschnittlichen Bruttostundenverdienste;;;;;;;;;;
Vollzeitbeschäftigte Arbeitnehmer/-innen;;;;;;;;;;
