<< Inhaltsverzeichnis;;;;;;;;;;
"Statistische Wochenberichte
Veränderungen in %";;;;;;;;;;
;Vergleich;;;;;;;;;
;  2018  ;  2019  ;1. Vj 20;2. Vj 20;3. Vj 20;4. Vj 20;1. Vj 20;2. Vj 20;3. Vj 20;4. Vj 20
;gegenüber Vorjahr;;gegenüber Vorjahresquartal;;;;gegenüber Vorquartal;;;
;;;;;;;;;;
Produzierendes Gewerbe;;;;;;;;;;
Produktion ausgewählter Erzeugnisse1, 2 ;;;;;;;;;;
Rohöl ;-8.839578;-7.803757;-3.469913;-3.89807;6.173299;3.989379;-2.541545;-1.598863;11.557219;-2.798791
Bausand ;2.118181;-3.030755;7.34534;3.738793;0.771567;6.315274;-15.02739;38.667666;1.072334;-10.729246
Baukies ;-1.157029;-4.120152;8.001902;5.455926;-4.818614;0.403871;-22.306771;48.320632;-3.130705;-10.054471
Steinsalz ;5.768586;2.61914;-37.528043;-30.025679;-31.942365;-12.333934;-16.855368;-14.217721;25.099674;-1.747516
Schweineschinken ;4.9333227573000002E-2;-2.51166;-7.64631;-20.893693;-36.674045;-18.426475;0.775547;-21.792112;-17.489296;25.439183
Räucherlachs ;1.820381;-35.506077;-11.621236;-29.90536;-32.854229;-35.432368;-22.922013;-21.885929;-4.155275;11.888902
Sauermilch, Sauerrahm, Joghurt u.a. ferment. Erz., ;;;;;;;;;;
flüssig, mit Geschmackszusätzen oder mit Früchten, ;;;;;;;;;;
Nüssen oder Kakao ;-2.088873;-4.391221;-6.271172;-13.049231;-1.679008;3.813101;10.239704;-4.920524;-0.811659;-0.145713
Speiseeis, auch kakaohaltig ;-4.549853;28.505545;-0.269998;2.827674;-0.264109;1.795534;103.063386;9.001648;-16.951789;-44.622447
Röstkaffee, koffeinfrei ;-11.935937;-3.858147;-11.57296;-1.089328;0.549566;9.946279;-3.611309;7.68049;-2.114861;8.21829
Bier aus Malz (ohne Mischungen von Limonade und ;;;;;;;;;;
Bier, ohne alkoholfreies Bier) ;1.784093;-3.07045;-4.365494;-14.441461;-1.511848;-7.178777;-4.687883;9.39851;14.352463;-22.152936
Natürliches Mineralwasser ;4.714091;-4.965327;7.480807;-14.069901;-3.91743;-0.712805;16.327072;-6.267512;15.100508;-20.887509
Zigaretten ;-14.921007;-21.155889;-51.557505;-41.867287;-40.003604;-34.26091;-22.654589;-9.665551;7.946092;-12.837674
Bettwäsche aus Baumwolle ;-40.67236;-9.752311;-9.659369;-15.977178;-5.67642;4.332321;-6.877047;-5.094769;9.174043;8.131588
Kopfkissen mit Federn oder Daunen gefüllt ;-15.35903;6.449376;-6.504857;9.580205;39.019228;12.773982;-33.922432;1.573258;61.181958;4.245918
