<< Inhaltsverzeichnis;;;;;;;;;;
"Statistische Wochenberichte
Veränderungen in %";;;;;;;;;;
;Vergleich;;;;;;;;;
;  2019  ;  2020  ;1. Vj 20;2. Vj 20;3. Vj 20;4. Vj 20;1. Vj 20;2. Vj 20;3. Vj 20;4. Vj 20
;gegenüber Vorjahr;;gegenüber Vorjahresquartal;;;;gegenüber Vorquartal;;;
Verdienste und Arbeitskosten;;;;;;;;;;
Neue Länder;;;;;;;;;;
Bezahlte Wochenarbeitszeit;;;;;;;;;;
Vollzeitbeschäftigte Arbeitnehmer/-innen;;;;;;;;;;
Produzierendes Gewerbe und Dienstleistungsbereich ;0;-2.525253;0;-5.555556;-2.261307;-2.015113;-1.259446;-4.591837;4.010695;0
Männer ;0;-2.272727;0;-5.541562;-2.255639;-2.01005;-1.507538;-4.336735;4;0
Frauen ;0;-2.538071;-0.254453;-5.583756;-2.025316;-2.278481;-0.759494;-5.102041;4.032258;-0.258398
Produzierendes Gewerbe ;0;-3.299492;0;-6.835443;-3.02267;-2.272727;-2.272727;-4.909561;4.619565;0.519481
Männer ;0;-3.045685;0;-6.329114;-3.015075;-2.020202;-2.525253;-4.145078;4.324324;0.518135
Frauen ;0;-4.071247;0;-8.673469;-4.314721;-2.791878;-1.015228;-8.205128;5.307263;1.591512
;;;;;;;;;;
Bergbau und Gewinnung von Steinen und Erden ;0;-1.794872;0;-3.076923;-2.046036;-1.794872;-0.512821;-2.57732;1.322751;0
Männer ;0;-1.534527;0.257069;-3.061224;-2.040816;-1.785714;-0.510204;-2.564103;1.052632;0.260417
Frauen ;0;-2.879581;-0.78534;-3.916449;-3.664921;-2.368421;-0.263158;-2.902375;0;0.815217
Verarbeitendes Gewerbe ;-0.253165;-4.314721;0;-9.414758;-4.79798;-3.037975;-0.759494;-9.183673;5.898876;1.591512
Männer ;-0.253165;-4.314721;-0.254453;-9.414758;-4.545455;-3.030303;-1.010101;-9.183673;6.179775;1.587302
Frauen ;0;-4.580153;0;-10.204082;-5.316456;-3.045685;-0.761421;-9.974425;6.25;2.139037
Energieversorgung ;-0.26178;-0.787402;0.263852;-1.842105;-0.524934;-0.26178;-0.52356;-1.842105;1.608579;0.527704
Männer ;-0.52356;-0.526316;0.529101;-1.842105;-0.524934;0;-0.262467;-1.842105;1.608579;0.527704
Frauen ;0;-1.04712;0.263158;-2.099738;-1.044386;-0.78329;-0.522193;-2.099738;1.608579;0.263852
Wasserversorgung1 ............................................................................................................................................;-0.49505;-0.248756;0.249377;-1.488834;-0.248139;-0.248139;-0.248139;-1.243781;1.259446;0
Männer ;-0.246914;-0.247525;0.248756;-0.990099;-0.246914;-0.246914;-0.493827;-0.744417;1;0
Frauen ;0;-1.010101;0.506329;-2.278481;-1.259446;-1.007557;0;-2.770781;1.554404;0.255102
Baugewerbe ;0.255102;-0.763359;1.355014;-1.503759;-0.496278;-1.005025;-6.030151;5.080214;2.035623;-1.745636
Männer ;0;-0.255102;1.362398;-1.5;-0.49505;-1.005025;-6.532663;5.913978;2.030457;-1.99005
Frauen ;0;-1.269036;-0.511509;-2.791878;-1.262626;-0.759494;-1.518987;-1.542416;2.088773;0.255754
Dienstleistungsbereich ;0;-2.015113;-0.252525;-5.037783;-1.507538;-2.01005;-0.753769;-4.556962;3.97878;-0.510204
Männer ;0.251256;-2.005013;0;-4.773869;-1.5;-2;-0.75;-4.534005;3.957784;-0.507614
Frauen ;-0.253165;-2.030457;-0.253807;-4.822335;-1.518987;-2.278481;-0.506329;-4.580153;3.733333;-0.771208
Handel2 ............................................................................................................................................;-0.252525;-3.291139;-0.253807;-8.101266;-2.777778;-2.525253;-0.757576;-7.633588;6.060606;0.25974
Männer ;0;-3.274559;0;-7.323232;-2.518892;-2.512563;-0.753769;-7.088608;5.449591;0.258398
Frauen ;-0.255102;-3.580563;-0.25641;-9.207161;-2.806122;-2.295918;-0.765306;-8.74036;7.323944;0.524934
Verkehr und Lagerei ;0.246305;-1.228501;0;-3.194103;-0.735294;-0.490196;-0.980392;-2.475248;2.791878;0.246914
Männer ;0.243902;-1.216545;-0.245098;-3.170732;-0.728155;-0.485437;-1.213592;-2.457002;3.02267;0.244499
Frauen ;0;-1.025641;0;-2.820513;-0.769231;-0.25641;-0.25641;-2.570694;2.110818;0.516796
Gastgewerbe ;0;-19.647355;-5.063291;-37.939698;-11.779449;-25.125628;-5.778894;-34.133333;42.510121;-15.340909
Männer ;0.251256;-19.548872;-5.050505;-38.095238;-11.5;-24.5;-6;-34.308511;43.319838;-14.689266
Frauen ;0;-19.493671;-4.834606;-37.626263;-11.838791;-25.505051;-5.555556;-33.957219;41.700405;-15.714286
Information und Kommunikation ;-0.506329;-1.78117;-0.255102;-4.071247;-1.77665;-1.015228;-0.761421;-3.580563;2.65252;0.775194
Männer ;-0.505051;-1.522843;0;-3.307888;-1.772152;-1.012658;-0.759494;-3.061224;2.105263;0.773196
Frauen ;-0.507614;-2.55102;-0.511509;-6.122449;-2.544529;-1.27551;-0.765306;-5.398458;4.076087;1.044386
;;;;;;;;;;
Erbringung von Finanz- und Versicherungsdienstleistungen ;0.255754;-1.27551;-0.765306;-1.785714;-1.785714;-0.765306;-0.765306;-1.028278;0;1.038961
Männer ;0.255754;-1.020408;-0.510204;-1.526718;-1.530612;-0.765306;-0.510204;-0.769231;-0.258398;0.777202
Frauen ;0;-1.278772;-0.765306;-2.040816;-1.534527;-0.767263;-0.511509;-1.285347;0.260417;0.779221
Grundstücks- und Wohnungswesen ;0;-0.515464;0.516796;-1.808786;0;-0.257732;0.257732;-2.313625;2.105263;-0.257732
Männer ;-0.25641;0;0.257069;-1.028278;0.257069;-0.255754;-0.255754;-1.282051;1.298701;0
Frauen ;-0.259067;-0.779221;0.519481;-3.116883;-0.518135;-0.779221;0.519481;-3.617571;2.949062;-0.520833
Erbringung von freiberuflichen, wissenschaftlichen und ;;;;;;;;;;
technischen Dienstleistungen ;0.252525;-1.763224;-0.252525;-3.778338;-1.763224;-1.511335;-0.503778;-3.291139;2.094241;0.25641
Männer ;0.505051;-2.01005;-0.502513;-4.020101;-2.756892;-1.754386;-0.75188;-3.535354;1.570681;1.030928
Frauen ;0;-1.265823;-0.253165;-3.291139;-1.012658;-1.262626;-0.505051;-3.045685;2.356021;0
;;;;;;;;;;
Erbringung von sonstigen wirtschaftlichen Dienstleistungen ;0.260417;-1.558442;0.78534;-5.974026;-0.775194;-0.258398;-0.516796;-5.974026;6.077348;0.520833
Männer ;0.25974;-1.295337;0.522193;-5.958549;-0.257732;0;-0.773196;-5.714286;6.61157;0.258398
Frauen ;0.262467;-1.832461;0.789474;-6.020942;-1.822917;-1.305483;0;-6.266319;5.013928;0.265252
;;;;;;;;;;
Öffentliche Verwaltung, Verteidigung, Sozialversicherung ;0;0;0;0;0;0;0;0;0;0
Männer ;0;0;0;0;0;0;0;0;0;0
Frauen ;0;0;0;0;0;0;0;0;0;0
Erziehung und Unterricht ;0;-0.75188;0;-1.503759;-0.501253;-0.501253;-0.250627;-1.256281;1.017812;0
Männer ;0;-1.002506;-0.250627;-2.005013;-0.75188;-0.501253;-0.250627;-1.758794;1.278772;0.252525
