<< Inhaltsverzeichnis;;;;;;;
"Statistische Wochenberichte
Ausgewählte Konjunkturindikatoren";;;;;;;
;Einheit;Aug. 20 ;Sep. 20 ;Okt. 20 ;Nov. 20 ;Dez. 20 ;Jan. 21 
;;;;;;;
Großhandel1;;;;;;;
Beschäftigte ;2015 = 100;104.800000;105.000000;104.900000;105.000000;104.700000;104.100000
Umsatz nominal2 ..............................................................................................................;2015 = 100;104.900000;117.000000;119.700000;117.500000;116.400000;99.800000
Umsatz real3 ..............................................................................................................;2015 = 100;103.000000;115.100000;118.100000;116.000000;114.600000;96.500000
;;;;;;;
;;Aug. 20 ;Sep. 20 ;Okt. 20 ;Nov. 20 ;Dez. 20 ;Jan. 21 
;;;;;;;
Einzelhandel4;;;;;;;
Beschäftigte ;2015 = 100;105.100000;105.300000;105.600000;106.000000;106.100000;104.100000
Umsatz nominal2 ..............................................................................................................;2015 = 100;118.100000;119.900000;130.600000;133.200000;138.400000;100.900000
Umsatz real3 ..............................................................................................................;2015 = 100;112.900000;114.200000;124.100000;127.000000;131.900000;95.900000
;;;;;;;
;;Aug. 20 ;Sep. 20 ;Okt. 20 ;Nov. 20 ;Dez. 20 ;Jan. 21 
;;;;;;;
Kfz-Handel und Tankstellen5;;;;;;;
Beschäftigte ;2015 = 100;106.300000;107.400000;107.200000;107.200000;106.600000;105.700000
Umsatz nominal2 ..............................................................................................................;2015 = 100;115.000000;131.500000;139.100000;138.000000;129.300000;90.100000
Umsatz real3 ..............................................................................................................;2015 = 100;106.400000;121.900000;129.200000;127.800000;119.100000;83.700000
;;;;;;;
;;Aug. 20 ;Sep. 20 ;Okt. 20 ;Nov. 20 ;Dez. 20 ;Jan. 21 
;;;;;;;
Gastgewerbe ;;;;;;;
Beschäftigte ;2015 = 100;92.300000;92.900000;90.600000;78.800000;74.500000;72.100000
Umsatz nominal2 ..............................................................................................................;2015 = 100;104.100000;102.600000;89.700000;38.600000;35.500000;29.900000
Umsatz real3 ..............................................................................................................;2015 = 100;89.900000;88.700000;77.500000;33.400000;30.800000;26.300000
;;;;;;;
;;Aug. 20 ;Sep. 20 ;Okt. 20 ;Nov. 20 ;Dez. 20 ;Jan. 21 
;;;;;;;
Außenhandel ;;;;;;;
Einfuhr ;Mill. EUR;79404.957;89675.157;92531.46;95167.926;85797.942;84382.713
Ausfuhr ;Mill. EUR;91258.939;109854.671;112190.653;111837.423;100973.773;98227.995
;;;;;;;
;;Sep. 20 ;Okt. 20 ;Nov. 20 ;Dez. 20 ;Jan. 21 ;Feb. 21 
;;;;;;;
Preise;;;;;;;
Verbraucherpreisindex für Deutschland ;2015 = 100;105.800000;105.900000;105.000000;105.500000;106.300000;107.000000
;;;;;;;
;;Sep. 20 ;Okt. 20 ;Nov. 20 ;Dez. 20 ;Jan. 21 ;Feb. 21 
;;;;;;;
;;;;;;;
Index der Erzeugerpreise gewerblicherProdukte ;2015 = 100;103.600000;103.700000;103.900000;104.700000;106.200000;106.900000
;;;;;;;
;;Sep. 20 ;Okt. 20 ;Nov. 20 ;Dez. 20 ;Jan. 21 ;Feb. 21 
;;;;;;;
Index der Großhandelsverkaufspreise ;2015 = 100;102.100000;101.900000;102.000000;102.600000;104.800000;106.300000
;;;;;;;
;;Sep. 20 ;Okt. 20 ;Nov. 20 ;Dez. 20 ;Jan. 21 ;Feb. 21 
;;;;;;;
Index der Einfuhrpreise ;2015 = 100;96.800000;97.100000;97.600000;98.200000;100.100000;101.800000
Index der Ausfuhrpreise ;2015 = 100;101.300000;101.400000;101.800000;101.900000;102.800000;103.300000
;;;;;;;
;;3. Vj 19;4. Vj 19;1. Vj 20;2. Vj 20;3. Vj 20;4. Vj 20
;;;;;;;
Arbeitskosten6;;;;;;;
Index der Arbeitskosten insgesamt ;2016 = 100;108.744000;109.027000;111.428000;112.527000;110.609000;112.934000
Index der Bruttolöhne und -gehälter ;2016 = 100;109.012000;109.153000;111.847000;112.538000;110.874000;112.605000
Index der Lohnnebenkosten ;2016 = 100;107.817000;108.590000;109.968000;112.494000;109.690000;114.091000
;;;;;;;
;;;;;;;
1 Einschl. Handelsvermittlung. – 2 In jeweiligen Preisen. – 3 In konstanten Preisen. – 4 Ohne Reparatur von Gebrauchsgütern. – 5 Sowie Instandhaltung und Reparatur von Kraftfahr- ;;;;;;;
zeugen. – 6 Arbeitskosten je geleistete Stunde im Produzierenden Gewerbe und im Dienstleistungsbereich. Saison- und Kalenderbereinigt, Verfahren Census X12-ARIMA.;;;;;;;
