<< Inhaltsverzeichnis;;;;;;;;;;
"Statistische Wochenberichte
Veränderungen in %";;;;;;;;;;
;Vergleich;;;;;;;;;
;  2019  ;  2020  ;1. Vj 20;2. Vj 20;3. Vj 20;4. Vj 20;1. Vj 20;2. Vj 20;3. Vj 20;4. Vj 20
;gegenüber Vorjahr;;gegenüber Vorjahresquartal;;;;gegenüber Vorquartal;;;
Verdienste und Arbeitskosten;;;;;;;;;;
Neue Länder;;;;;;;;;;
Bruttostundenverdienste ohne Sonderzahlungen;;;;;;;;;;
Vollzeitbeschäftigte Arbeitnehmer/-innen;;;;;;;;;;
Energieversorgung ;1.751654;3.710788;4.046693;2.527348;3.756228;4.493526;1.827875;1.645475;-0.404709;1.366827
Männer ;1.439939;3.77288;4.025826;2.653889;3.739716;4.763677;1.935244;1.679445;-0.394973;1.47801
Frauen ;0.838926;3.868552;4.316547;2.538903;4.304221;4.301075;1.943755;1.58215;-0.319489;1.041667
Wasserversorgung1 ............................................................................................................................................;2.606635;1.963048;2.459016;2.200347;0.917431;2.287021;5.7175528874000001E-2;0.857143;-0.283286;1.647727
Männer ;3.128761;1.691949;2.369668;1.87244;0.462963;2.079723;-0.17331;0.752315;-0.287191;1.785714
Frauen ;0.610094;3.969129;3.559511;4.410143;3.90754;4.159825;1.915709;1.718582;-0.31679;0.794492
Baugewerbe ;4.36386;3.35689;2.725118;3.971547;3.472631;3.319744;0.990099;1.153403;0.22805;0.910125
Männer ;4.422604;3.352941;2.602011;4.030824;3.470588;3.257708;0.930774;1.152738;0.22792;0.909608
Frauen ;4.022277;3.688281;3.367408;3.675163;3.690476;4.196217;1.595745;1.745201;-0.400229;1.205511
Dienstleistungsbereich ;3.63442;4.589995;4.994742;5.369128;3.789042;4.226069;1.680244;2.203305;-0.685938;0.98668
Männer ;3.66242;4.710701;5.06263;5.438687;4.067107;4.240283;1.615346;2.086438;-0.389294;0.879336
Frauen ;3.615758;4.427083;4.938927;5.309735;3.36091;4.278351;1.85567;2.378543;-1.186357;1.2006
Handel2 ............................................................................................................................................;4.850032;5.234327;5.117139;4.884005;4.845548;6.077016;2.587244;0.762463;0.756694;1.848642
Männer ;4.387569;6.421483;6.94362;5.865103;5.797101;7.085253;3.801843;0.166482;1.108033;1.863014
Frauen ;5.329593;2.396804;0.870147;2.6;2.731512;3.36856;-0.462351;2.123424;0.194932;1.491569
Verkehr und Lagerei ;2.143336;2.295082;3.765972;3.225806;1.82887;0.511836;-1.279591;1.62022;-0.57398;0.769724
Männer ;2.384196;2.59481;4.030055;3.542781;2.05298;0.713359;-1.232166;1.707157;-0.516462;0.778715
Frauen ;1.492537;1.409314;2.748282;2.209945;0.917431;-0.120265;-1.082381;1.215805;-0.900901;0.666667
Gastgewerbe ;5.450041;6.029757;5.13834;8.634223;5.11811;6.471495;2.465331;4.06015;-3.540462;3.520599
Männer ;5.507474;6.562267;5.433962;9.626866;5.776444;6.881406;2.2694;5.153901;-4.016338;3.546099
Frauen ;5.199307;5.436573;4.975124;7.526882;4.383788;5.844156;2.75974;2.685624;-2.923077;3.328051
Information und Kommunikation ;5.144834;4.564145;4.10618;3.735632;6.118231;4.063389;1.991061;0.677291;1.582905;-0.233736
Männer ;5.402112;4.894027;4.633956;3.494624;6.697638;4.496951;2.400915;0.29773;2.263451;-0.507983
Frauen ;3.888025;4.391218;2.864322;3.748126;5.62249;4.625984;0.738189;1.416707;1.348748;1.045627
;;;;;;;;;;
Erbringung von Finanz- und Versicherungsdienstleistungen ;1.936265;4.946577;5.617978;4.385618;5.061289;4.694836;2.973396;0.379939;0.567752;0.715092
Männer ;1.637593;3.607706;3.909827;2.657343;4.071604;3.795265;2.715877;-0.474576;0.987738;0.539629
Frauen ;1.687187;5.022422;5.944216;4.9217;4.874776;4.328622;2.340989;1.208459;0;0.724947
Grundstücks- und Wohnungswesen ;2.668035;-0.649675;0.202943;-0.251509;-1.191067;-1.330049;-2.70936;0.405063;0.403429;0.602712
Männer ;2.400409;-2.394015;-1.261989;-2.51004;-2.923687;-3.052683;-3.692762;-0.715746;0.875386;0.510465
Frauen ;2.992776;1.853707;2.194997;2.97379;1.242545;1.134122;-1.282051;2.047952;-0.293686;0.687285
Erbringung von freiberuflichen,  wissenschaftlichen und ;;;;;;;;;;
technischen Dienstleistungen ;2.980769;5.50887;6.660324;5.981308;4.744186;4.827586;3.08046;1.159679;-0.705467;1.243339
Männer ;1.551056;6.406449;7.195174;7.179269;5.71066;5.737018;4.187605;1.406752;-0.951249;1.040416
Frauen ;4.519119;5.321508;6.045198;5.438402;5.187638;4.748908;2.456332;1.22536;0.315789;0.682057
;;;;;;;;;;
Erbringung von sonstigen wirtschaftlichen Dienstleistungen ;3.889304;2.37581;3.313697;2.59366;1.714286;1.987225;-0.425834;1.496793;0;0.912921
Männer ;3.526819;2.058197;2.685051;2.200142;1.40647;2.103787;-0.771388;1.766784;0.138889;0.970874
Frauen ;4.709576;3.223388;5.214724;3.678679;2.537313;1.54185;0.734214;0.655977;-0.506879;0.655022
;;;;;;;;;;
Öffentliche Verwaltung, Verteidigung, Sozialversicherung ;3.364055;2.585823;5.130554;2.766622;0.699606;1.857585;1.503759;0.348584;0;0
Männer ;3.293687;2.568645;5.143377;3.06803;0.433276;1.800615;1.449275;0.34632;0;0
Frauen ;3.392193;2.561798;5.078486;2.329749;0.972591;1.873327;1.516503;0.351494;0;0
Erziehung und Unterricht ;3.380282;3.620086;5.872952;3.368177;1.837672;3.491078;2.792863;0.754717;-0.374532;0.300752
Männer ;3.442879;3.06354;5.075552;2.894737;1.228593;3.095508;2.378256;0.921829;-0.657654;0.441339
Frauen ;3.307472;3.913043;6.252538;3.577044;2.176448;3.699331;2.990948;0.68781;-0.227704;0.228224
Gesundheits- und Sozialwesen ;3.069544;4.653327;4.836415;5.076851;4.160888;4.595588;1.608456;2.035278;-0.132979;1.020861
Männer ;4.228856;3.89817;3.675283;4.545455;3.397866;3.853716;0.943767;2.142579;-0.190694;0.917081
Frauen ;2.729659;5.007665;5.265902;5.314257;4.464739;4.788306;1.764113;2.080238;-9.7040271713000004E-2;0.971345
Kunst, Unterhaltung und Erholung ;9.732728;7.398897;4.391408;8.481532;8.096981;9.205209;-1.796138;8.77915;-0.672551;2.920017
Männer ;10.155902;7.076425;3.508772;5.738029;10.914217;8.572552;-4.876131;10.458867;3.068862;0.254176
Frauen ;9.359606;4.617117;3.448276;9.839817;0.392597;5.595568;1.385042;4.918033;-6.770833;6.480447
Erbringung von sonstigen Dienstleistungen ;6.975381;1.643836;1.952036;2.912088;0.547046;1.236559;-1.72043;2.461707;-1.86866;2.448313
Männer ;5.800958;0.855131;0.356415;2.224469;0.555275;0.443787;-2.810651;2.587519;-1.48368;2.259036
Frauen ;7.908163;2.186761;3.202417;3.128689;0.470312;1.859384;-0.755375;2.283372;-2.175157;2.574605
Index der durchschnittlichen Bruttostundenverdienste;;;;;;;;;;
Vollzeitbeschäftigte Arbeitnehmer/-innen;;;;;;;;;;
Produzierendes Gewerbe und Dienstleistungsbereich ;3.388278;3.100089;3.783784;3.188663;2.638522;2.889667;0.875657;1.128472;0.171674;0.685518
Bruttomonatsverdienste ohne Sonderzahlungen;;;;;;;;;;
