<< Inhaltsverzeichnis;;;;;;;;;;
"Statistische Wochenberichte
Veränderungen in %";;;;;;;;;;
;Vergleich;;;;;;;;;
;  2019  ;  2020  ;Nov. 20 ;Dez. 20 ;Jan. 21 ;Feb. 21 ;Nov. 20 ;Dez. 20 ;Jan. 21 ;Feb. 21 
;gegenüber Vorjahr;;gegenüber Vorjahresmonat;;;;gegenüber Vormonat;;;
Preise;;;;;;;;;;
;;;;;;;;;;
Verbraucherpreisindex für Deutschland1 ............................................................................................... ;1.445087;0.474834;-0.2849;-0.283554;1.045627;1.325758;-0.849858;0.47619;0.758294;0.658514
Nahrungsmittel und alkoholfreie Getränke ;1.132075;2.33209;1.208178;0.370028;1.923077;1.447964;0.368664;-0.367309;2.580645;0.718778
Alkoholische Getränke und Tabakwaren ;2.5;2.619693;1.699463;1.704036;2.144772;2.5916;-0.69869;-0.263852;0.793651;0.437445
Bekleidung und Schuhe ;1.376598;-0.872939;-2.155576;-5.397727;1.101101;0.589971;-0.286533;-4.310345;1.101101;1.287129
Wohnung, Wasser, Strom, Gas und andere Brennstoffe ;1.84466;0.667302;0;0.189573;0.660377;0.944287;9.4966761632999996E-2;0.28463;0.946074;0.187441
;;;;;;;;;;
Möbel, Leuchten, Geräte u. a. Haushaltszubehör ;0.785855;0.194932;-1.162791;-0.870406;1.161665;1.453488;-0.195695;0.490196;1.95122;0.191388
Gesundheitspflege2 ............................................................................................... ;1.06383;0.76555;-0.572519;-0.477099;0;-9.4696969697000005E-2;0;9.5969289826999996E-2;0.958773;0.189934
Verkehr ;1.235741;-1.971831;-3.283302;-2.712816;0.466418;1.968135;-0.578592;0.872939;3.557692;1.021356
Nachrichtenübermittlung ;-0.724638;-1.668405;-3.235908;-3.444676;-1.459854;-1.564129;-0.215285;-0.21575;2.162162;-0.10582
Freizeit, Unterhaltung und Kultur ;0.580271;0;0.806452;0.967118;1.652893;1.509054;-6.45463;4.4;-5.747126;2.54065
Bildungswesen ;-0.289575;-0.871249;0.390625;0.488759;1.568627;1.764706;9.7370983447000001E-2;0;0.77821;0.19305
Beherbergungs- und Gaststättendienstleistungen ;2.530459;2.193784;1.634877;1.814882;1.809955;1.442741;-0.26738;0.268097;0.26738;0
Andere Waren und Dienstleistungen ;2.220077;1.794145;1.122544;1.404494;2.43218;2.61194;0;0.185014;1.108033;0.456621
;;;;;;;;;;
;  2019  ;  2020  ;Nov. 20 ;Dez. 20 ;Jan. 21 ;Feb. 21 ;Nov. 20 ;Dez. 20 ;Jan. 21 ;Feb. 21 
;gegenüber Vorjahr;;gegenüber Vorjahresmonat;;;;gegenüber Vormonat;;;
;;;;;;;;;;
