<< Inhaltsverzeichnis;;;;;;;;;;
"Statistische Wochenberichte
Veränderungen in %";;;;;;;;;;
;Vergleich;;;;;;;;;
;  2019  ;  2020  ;Nov. 20 ;Dez. 20 ;Jan. 21 ;Feb. 21 ;Nov. 20 ;Dez. 20 ;Jan. 21 ;Feb. 21 
;gegenüber Vorjahr;;gegenüber Vorjahresmonat;;;;gegenüber Vormonat;;;
;;;;;;;;;;
Arbeitsmarkt;;;;;;;;;;
Erwerbsstatus1;;;;;;;;;;
;;;;;;;;;;
Erwerbstätige im Inland2 ...............................................................................;0.893733;-1.075791;-1.7;-1.7;-1.6;-1.7;-0.1;-0.4;-0.7;0
Erwerbstätige Inländer3 ........................................................................................................;0.885371;-0.990626;-1.6;-1.6;-1.6;-1.7;0;-0.3;-0.7;0
Erwerbslose ;-6.40327;34.352256;43.7;40.3;37.8;36;0.5;0.5;4.6;0
Erwerbspersonen4 insgesamt .............................................................................................;0.65375;5.3766909692999999E-2;0.6;-0.2;-0.1;-0.2;-0.1;-0.1;0.2;-0.3
Saisonbereinigte Ergebnisse;;;;;;;;;;
Erwerbstätige im Inland2 ...............................................................................;0.399;-0.485;-1.7;-1.7;-1.7;-1.7;-0.1;0;0;0
Erwerbstätige Inländer3 ........................................................................................................;0.396;-0.446;-1.6;-1.6;-1.6;-1.7;-0.1;0;0;-0.1
Erwerbslose5 .......................................................................................................;-0.1;0.483;43.1;40.3;37.7;33.8;1.5;1.5;1.4;0.9
Männer ;-6.3000000000000056E-2;0.191;24.4;22.7;21.1;19.6;0.9;0.9;0.9;0.9
Frauen ;-3.6999999999999922E-2;0.291;70.7;65.6;59.4;52.9;3.1;2;1;2
Personen unter 25 Jahren ;-1.5000000000000013E-2;1.6000000000000014E-2;12;12;16;16;0;0;3.6;0
Personen 25 Jahre und älter ;-8.6000000000000076E-2;0.468;49.6;46;41.9;37;1.7;1.7;1.1;1.1
Erwerbslosenquote5, 6 .................................................................... ;-0.3;1.1;1.4;1.3;1.3;1.3;0.1;0;0.1;0.1
Männer ;-0.3;0.8;0.8;0.9;0.8;0.8;0;0.1;0;0.1
Frauen ;-0.2;1.4;2;1.9;1.9;1.8;0.1;0.1;0.1;0.1
Personen unter 25 Jahren ;-0.5;0.4;0.9;0.9;0.9;0.9;0.1;0.1;0;0.1
Personen 25 Jahre und älter ;-0.2;1.1;1.5;1.4;1.4;1.3;0.1;0;0.1;0.1
Auswertungen aus der Beschäftigungsstatistik ;;;;;;;;;;
der Bundesagentur für Arbeit:;;;;;;;;;;
;;;;;;;;;;
;  2018  ;  2019  ;30.09.19;31.12.19;31.03.20;30.06.20;30.09.19;31.12.19;31.03.20;30.06.20
