<< Inhaltsverzeichnis;;;;;;;;;;
"Statistische Wochenberichte
Bevölkerungsstand und Bevölkerungsbewegung";;;;;;;;;;
;Einheit;  2017  ;  2018  ;  2019  ;2. Vj 20;3. Vj 20;Aug. 20 ;Sep. 20 ;Okt. 20 ;Nov. 20 
Deutschland;;;;;;;;;;
Veränderungen gegenüber dem entsprechenden Zeitraum des Vorjahres in %;;;;;;;;;;
Bevölkerungsstand1, 2 ...........................................................................................................;%;0.328033;0.273756;0.178272;6.0188027397999999E-2;5.0511731950999998E-2;7.3406418850000002E-2;5.0511731950999998E-2;3.7265438109000001E-2;3.3659105389000001E-2
dar.: Ausländer/-innen ;%;4.977002;4.237396;3.062742;2.138254;1.983551;2.208601;1.983551;1.867899;1.874279
Wanderungen2, 3, 4 ;;;;;;;;;;
Zuzüge ;%;-16.85686;1.815027;-1.282882;-45.062286;-18.083928;-11.90322;-22.398403;-12.420206;-11.037191
dar.: Ausländer/-innen ;%;-19.49054;-0.12088;-2.633351;-49.81048;-20.961015;-14.866904;-25.565193;-14.779098;-11.903233
Fortzüge ;%;-16.886955;5.11404;3.26034;-35.318484;-23.459311;-23.318594;-19.494158;-12.55215;-18.454001
dar.: Ausländer/-innen ;%;-18.297937;4.720258;3.666949;-36.700171;-24.131126;-24.028042;-20.63103;-12.290764;-18.913055
;;;;;;;;;;
;;  2017  ;  2018  ;  2019  ;2. Vj 20;3. Vj 20;Aug. 20 ;Sep. 20 ;Okt. 20 ;Nov. 20 
;;;;;;;;;;
Natürliche Bevölkerungsbewegung4, 5, 6;;;;;;;;;;
Eheschließungen ;%;-0.721202;10.307608;-7.373639;-;-;-;-;-;-
Ehescheidungen7 ...........................................................................................................;%;-5.477934;-3.540694;0.637554;-;-;-;-;-;-
Lebendgeborene ;%;-0.914874;0.336228;-1.197806;-;-;-;-;-;-
dar.: Ausländer/-innen ;%;0.361582;7.353995;1.20606;-;-;-;-;-;-
Gestorbene8 ...........................................................................................................;%;2.345375;2.425389;-1.607961;-;-;-;-;-;-
Früheres Bundesgebiet*;;;;;;;;;;
Absolute Zahlen ;;;;;;;;;;
;;  2017  ;  2018  ;  2019  ;2. Vj 20;3. Vj 20;Aug. 20 ;Sep. 20 ;Okt. 20 ;Nov. 20 
Bevölkerungsstand1, 2 ...........................................................................................................;1 000;66608.103;66823;66967;66951;67015;66987;67015;67038;67036
dar.: Ausländer/-innen ;1 000;8474.166;8811;9061;9116;9183;9153;9183;9215;9230
Wanderungen2, 3, 4 ;;;;;;;;;;
Zuzüge ;Anzahl;1308769;1319568;1296212;164643;298557;98272;106550;109813;81611
dar.: Ausländer/-innen ;Anzahl;1173274;1163234;1125093;131526;250671;81935;91495;95419;70243
Fortzüge ;Anzahl;964013;1006797;1033735;158545;229612;77525;77434;78058;64642
dar.: Ausländer/-innen ;Anzahl;760433;790289;812903;122624;175757;58982;59008;60850;50332
Überschuss der Zu- (+) bzw.;;;;;;;;;;
Fortzüge (-) ;Anzahl;344756;312771;262477;6098;68945;20747;29116;31755;16969
dar.: Ausländer/-innen ;Anzahl;412841;372945;312190;8902;74914;22953;32487;34569;19911
;;;;;;;;;;
;;  2017  ;  2018  ;  2019  ;2. Vj 20;3. Vj 20;Aug. 20 ;Sep. 20 ;Okt. 20 ;Nov. 20 
;;;;;;;;;;
Natürliche Bevölkerungsbewegung4, 6;;;;;;;;;;
Eheschließungen ;Anzahl;330247;363730;338574;72187;110328;39481;35733;35645;17170
Ehescheidungen7, 9 ...........................................................................................................;Anzahl;132055;127841;128455;-;-;-;-;-;-
Lebendgeborene ;Anzahl;638504;643670;638872;158208;173555;57829;57644;55400;49351
dar.: Ausländer/-innen ;Anzahl;83439;89644;90754;23055;24195;8096;8317;8221;7453
Nichtehelich Lebendgeborene10 ...........................................................................................................;Anzahl;190923;188335;184648;44444;49941;16621;16971;16212;14716
Gestorbene8 ...........................................................................................................;Anzahl;728567;744743;734611;181886;177451;61792;58010;62141;66057
dar.: Ausländer/-innen ;Anzahl;28111;29490;30995;8027;7720;2706;2544;2810;3256
Gestorbene im 1. Lebensjahr ;Anzahl;2156;2094;2114;511;515;180;173;167;154
Totgeborene ;Anzahl;2383;2416;2528;659;676;236;198;193;223
Überschuss der Geborenen (+) ;;;;;;;;;;
bzw. Gestorbenen (-) ;Anzahl;-90063;-101073;-95739;-23678;-3896;-3963;-366;-6741;-16706
Deutsche ;Anzahl;-145391;-161227;-155498;-38706;-20371;-9353;-6139;-12152;-20903
Ausländer/-innen ;Anzahl;55328;60154;59759;15028;16475;5390;5773;5411;4197
;;;;;;;;;;
;;;;;;;;;;
1 Ergebnisse auf Grundlage des Zensus 2011. – 2 Die Ergebnisse ab Berichtsjahr 2016 sind aufgrund methodischer Änderungen und technischer Weiterentwicklungen nur bedingt mit den Vor- ;;;;;;;;;;
jahren vergleichbar. Ausführliche Erläuterungen dazu finden Sie auf der Internetseite der Wanderungen <https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Bevoelkerung/;;;;;;;;;;
"Wanderungen/_inhalt.html#sprg250326>. – 3 Einschließlich Herkunfts-/Zielgebiet ""ungeklärt"" und ""ohne Angabe"". – 4 Monats- und Vierteljahreszahlen vorläufig. – 5 Aufgrund eines neuen ";;;;;;;;;;
Auswertungssystems ist ab 2016 kein Vergleich zum Vorjahreszeitraum möglich. – 6 Daten zu den Geburten und Sterbefällen 2017 ohne Angaben zum unbestimmten Geschlecht. – 7 2019: ;;;;;;;;;;
Einschließlich Scheidungen gleichgeschlechtlicher Ehen. – 8 Ohne Totgeborene. – 9 Früheres Bundesgebiet und Berlin. – 10 Kinder nicht miteinander verheirateter Eltern.;;;;;;;;;;

* Ergebnisse ohne Berlin-West.;;;;;;;;;;
