<< Inhaltsverzeichnis;;;;;;;;;
Statistische Wochenberichte;;;;;;;;;
;  2017  ;  2018  ;  2019  ;  2020  ;4. Vj 19;1. Vj 20;2. Vj 20;3. Vj 20;4. Vj 20
;;;;;;;;;
Volkswirtschaftliche Gesamtrechnungen;;;;;;;;;
;;;;;;;;;
Mrd. EUR;;;;;;;;;
Bruttowertschöpfung ;2936.703;3024.422;3106.157;3013.885;799.48;767.401;692.364;765.808;788.312
+  Gütersteuern abzüglich Gütersubventionen ;323.157;331.988;342.893;318.345;86.66;83.659;76.506;77.312;80.868
=  Bruttoinlandsprodukt ;3259.86;3356.41;3449.05;3332.23;886.14;851.06;768.87;843.12;869.18
+  Saldo der Primäreinkommen aus der übrigen Welt ;77.34;91.001;93.768;94.914;31.839;27.276;13.046;23.672;30.92
=  Bruttonationaleinkommen (Bruttosozialprodukt) ;3337.2;3447.411;3542.818;3427.144;917.979;878.336;781.916;866.792;900.1
–  Abschreibungen ;581.322;610.273;639.814;657.763;161.551;164.06;165.086;164.171;164.446
=  Nettonationaleinkommen (Primäreinkommen) ;2755.878;2837.138;2903.004;2769.381;756.428;714.276;616.83;702.621;735.654
+  Laufende Transfers aus der übrigen Welt ;68.67;71.4;74.568;73.559;16.549;20.383;19.125;17.198;16.853
–  Laufende Transfers an die übrige Welt ;114.29;115.237;117.803;121.801;29.504;32.3;28.648;29.811;31.042
=  Verfügbares Einkommen ;2710.258;2793.301;2859.769;2721.139;743.473;702.359;607.307;690.008;721.465
–  Konsum ;2352.217;2425.739;2511.407;2460.137;653.305;616.401;580.984;627.539;635.213
=  Sparen ;358.041;367.562;348.362;261.002;90.168;85.958;26.323;62.469;86.252
Nachrichtlich:;;;;;;;;;
   Verfügbares Einkommen der privaten ;;;;;;;;;
Haushalte (Ausgabenkonzept)1 ......................................................................................................................................................;1846.04;1911.591;1969.815;1983.044;497.123;507.477;481.983;494.9;498.684
–  Konsumausgaben der privaten Haushalte1 ..............................................................................................................................;1704.05;1755.393;1806.871;1709.299;462.82;436.795;397.059;441.947;433.498
+  Zunahme betrieblicher Versorgungsansprüche ;59.902;59.243;57.308;57.357;15.348;13.863;14.05;14.105;15.339
=  Sparen der privaten Haushalte1 .........................................................................................................;201.892;215.441;220.252;331.102;49.651;84.545;98.974;67.058;80.525
Sparquote (Sparen in % des verfügbaren ;;;;;;;;;
Einkommens der privaten Haushalte2 .....................................................................................................................;10.600000;10.900000;10.900000;16.200000;9.700000;16.200000;20.000000;13.200000;15.700000
Volkseinkommen, Arbeitnehmerentgelt, ;;;;;;;;;
Volkseinkommen, Arbeitnehmerentgelt, Löhne und Gehälter;;;;;;;;;
Volkseinkommen ;2436.537;2510.109;2564.131;2492.685;672.117;634.09;562.808;632.121;663.666
–  Unternehmens– und Vermögenseinkommen ;741.81;738.325;718.193;651.319;167.833;188.972;125.638;177.034;159.675
=  Arbeitnehmerentgelt ;1694.727;1771.784;1845.938;1841.366;504.284;445.118;437.17;455.087;503.991
–  Sozialbeiträge der Arbeitgeber ;300.671;310.467;324.305;331.932;87.672;79.505;82.147;81.002;89.278
=  Bruttolöhne und -gehälter ;1394.056;1461.317;1521.633;1509.434;416.612;365.613;355.023;374.085;414.713
–  Sozialbeiträge der Arbeitnehmer ;237.028;247.733;251.518;248.973;67.839;61.066;59.513;60.966;67.428
–  Lohnsteuer der Arbeitnehmer ;225.446;238.352;249.809;243.286;70.334;58.814;61.28;54.792;68.4
=  Nettolöhne und -gehälter ;931.582;975.232;1020.306;1017.175;278.439;245.733;234.23;258.327;278.885
Nachrichtlich:;;;;;;;;;
Arbeitnehmerentgelt je Arbeitnehmer monatlich in EUR ;3542;3645;3755;3772;4071;3627;3598;3743;4120
Bruttolöhne und -gehälter je Arbeitnehmer monatlich in EUR ;2914;3007;3095;3092;3363;2979;2922;3077;3390
Nettolöhne und -gehälter je Arbeitnehmer monatlich in EUR ;1947;2006;2075;2084;2248;2002;1928;2125;2280
Durchschnitt in 1 000;;;;;;;;;
Bevölkerung und Erwerbstätigkeit ;;;;;;;;;
Bevölkerung ;82657;82906;83093;83157;83178;83168;83124;83147;83189
Erwerbspersonen ;45762;46195;46497;46522;46759;46536;46449;46472;46634
–  Erwerbslose ;1621;1468;1374;1846;1355;1549;1930;1965;1941
=  Erwerbstätige (Inländer) ;44141;44727;45123;44676;45404;44987;44519;44507;44693
–  Arbeitnehmer (Inländer) ;39868;40504;40971;40678;41295;40913;40496;40527;40778
=  Selbstständige ;4273;4223;4152;3998;4109;4074;4023;3980;3915
+  Arbeitnehmer (Inland) ;39989;40645;41117;40784;41429;40992;40602;40666;40876
=  Erwerbstätige (Inland) ;44262;44868;45269;44782;45538;45066;44625;44646;44791
Nachrichtlich:;;;;;;;;;
Erwerbsquote (Erwerbspersonen in % der Bevölkerung) ;55.400000;55.700000;56.000000;55.900000;56.200000;56.000000;55.900000;55.900000;56.100000
Erwerbslosenquote (Erwerbslose in % der Erwerbspersonen) ;3.500000;3.200000;3.000000;4.000000;2.900000;3.300000;4.200000;4.200000;4.200000
Stunden;;;;;;;;;
Geleistete Arbeitsstunden im Inland;;;;;;;;;
der Erwerbstätigen (Mill. Stunden) ;61483;62229;62596;59636;15795;15723;13412;15391;15110
