<< Inhaltsverzeichnis;;;;;;;;;
Statistische Wochenberichte;;;;;;;;;
;  2017  ;  2018  ;  2019  ;  2020  ;4. Vj 19;1. Vj 20;2. Vj 20;3. Vj 20;4. Vj 20
;;;;;;;;;
Volkswirtschaftliche Gesamtrechnungen;;;;;;;;;
;;;;;;;;;
W i r t s c h a f t l i c h e  K e n n z a h l e n;;;;;;;;;
Index 2015 = 100;;;;;;;;;
Arbeitsproduktivität1 .........................................................................................................;102.1900000;102.0900000;101.7400000;97.8100000;102.0700000;99.9300000;90.3100000;100.0000000;100.9600000
Land- und Forstwirtschaft, Fischerei ;97.4700000;84.6200000;89.0400000;91.6300000;90.3600000;92.2100000;87.2000000;93.1200000;93.9100000
Produzierendes Gewerbe ohne Baugewerbe ;107.3200000;106.2600000;101.8600000;94.1000000;101.3200000;98.8300000;81.9500000;93.2200000;102.4500000
darunter: Verarbeitendes Gewerbe ;106.3000000;105.3600000;101.2100000;92.9700000;100.0500000;96.9700000;80.7000000;93.1100000;101.1700000
Baugewerbe ;99.7700000;99.9900000;101.9600000;104.0700000;113.1200000;90.3100000;103.0300000;104.2900000;118.2500000
Handel, Verkehr und Gastgewerbe ;102.9600000;103.9800000;105.3500000;101.1500000;106.9600000;100.6700000;94.4000000;105.9400000;103.6800000
Information und Kommunikation ;103.2100000;106.9000000;106.9500000;104.7600000;107.2000000;108.5300000;96.9200000;106.9700000;106.2000000
Finanz- und  Versicherungsdienstleister ;105.3200000;103.4200000;106.7800000;107.5800000;106.1700000;107.8700000;107.6600000;108.1300000;107.1900000
Grundstücks- und Wohnungswesen ;99.3600000;98.8500000;99.0200000;99.1600000;98.4400000;100.6700000;97.5400000;100.0400000;98.3700000
Unternehmensdienstleister ;101.5900000;102.5900000;103.9700000;98.0700000;104.1400000;105.3300000;89.0900000;99.9600000;97.6800000
Öffentliche  Dienstleister, Erziehung, Gesundheit ;100.0600000;99.7700000;99.5400000;95.2600000;98.3200000;99.1900000;88.6100000;99.2100000;94.0100000
Sonstige Dienstleister ;97.8200000;99.1800000;99.4800000;90.2800000;99.4600000;98.8500000;80.1600000;98.1900000;83.8900000
EUR;;;;;;;;;
Arbeitnehmerentgelt je Arbeitnehmer ;42342;43569;44876;45100;12162;10837;10756;11190;12314
Land- und Forstwirtschaft, Fischerei ;22574;22670;22989;23064;6364;5825;5215;5681;6399
Produzierendes Gewerbe ohne Baugewerbe ;56267;57474;58729;57329;15237;13956;14535;13772;15059
darunter: Verarbeitendes Gewerbe ;55814;56990;58253;56695;15061;13823;14389;13625;14854
Baugewerbe ;40218;41480;42835;43634;11504;10130;10932;10869;11670
Handel, Verkehr und Gastgewerbe ;32631;33653;34889;34400;9471;8236;7861;8962;9352
Information und Kommunikation ;67531;70324;73206;74506;19483;17744;17737;18945;20052
Finanz- und  Versicherungsdienstleister ;71657;72860;75313;76609;22459;17661;18224;17836;22930
Grundstücks- und Wohnungswesen ;35014;36730;37711;38777;10194;9407;8895;9861;10563
Unternehmensdienstleister ;39140;40866;41713;42049;11251;10417;9769;10482;11374
Öffentliche  Dienstleister, Erziehung, Gesundheit ;41800;42850;44290;45697;12346;10794;10684;11376;12820
Sonstige Dienstleister ;25543;26433;27486;28144;7677;7066;6367;6793;7920
;;;;;;;;;
Bruttolöhne und -gehälter je Arbeitnehmer ;34817;35922;36979;36957;10044;8898;8732;9195;10129
Land- und Forstwirtschaft, Fischerei ;18972;19073;19291;19359;5355;4883;4369;4773;5382
Produzierendes Gewerbe ohne Baugewerbe ;46605;47733;48503;46937;12598;11474;11794;11279;12386
darunter: Verarbeitendes Gewerbe ;46379;47515;48245;46500;12494;11393;11674;11182;12247
Baugewerbe ;33802;34920;35984;36623;9675;8496;9148;9141;9810
Handel, Verkehr und Gastgewerbe ;27570;28452;29428;28759;8002;6911;6491;7529;7836
Information und Kommunikation ;56451;58415;61044;61984;16313;14759;14644;15788;16769
Finanz- und  Versicherungsdienstleister ;57968;59439;60574;61625;18259;14128;14562;14314;18653
Grundstücks- und Wohnungswesen ;28533;30327;31457;32421;8461;7847;7501;8237;8794
Unternehmensdienstleister ;32377;34152;35539;35563;9597;8846;8170;8884;9656
Öffentliche  Dienstleister, Erziehung, Gesundheit ;33141;33993;35060;36197;9825;8533;8384;9049;10211
Sonstige Dienstleister ;21239;22043;22892;23246;6384;5870;5200;5630;6548
Index 2015 = 100;;;;;;;;;
Lohnstückkosten2 ...............................................................................................;102.7000000;105.7800000;109.3300000;114.2900000;118.1500000;107.5300000;118.0900000;110.9500000;120.9300000
Land- und Forstwirtschaft, Fischerei ;106.7600000;123.5100000;119.0300000;116.0400000;129.8800000;116.4900000;110.2900000;112.4900000;125.6600000
Produzierendes Gewerbe ohne Baugewerbe ;97.0000000;100.0700000;106.6700000;112.7200000;111.2900000;104.4900000;131.2600000;109.3300000;108.7800000
darunter: Verarbeitendes Gewerbe ;98.0200000;100.9700000;107.4500000;113.8400000;112.4200000;106.4300000;133.1500000;109.2700000;109.6300000
Baugewerbe ;104.2800000;107.3100000;108.6700000;108.4600000;105.2200000;116.0600000;109.7800000;107.8400000;102.1100000
Handel, Verkehr und Gastgewerbe ;102.7700000;104.9500000;107.3900000;110.2800000;114.8500000;106.1000000;108.0100000;109.7200000;116.9800000
