<< Inhaltsverzeichnis;;;;;;;;;;
"Statistische Wochenberichte
Grundzahlen";;;;;;;;;;
;Einheit;  2018  ;  2019  ;  2020  ;Aug. 20 ;Sep. 20 ;Okt. 20 ;Nov. 20 ;Dez. 20 ;Jan. 21 
;;;;;;;;;;
Produzierendes Gewerbe;;;;;;;;;;
;;;;;;;;;;
Produktionsindex für das Produzierende Gewerbe1;;;;;;;;;;
;;;;;;;;;;
Produzierendes Gewerbe ;2015 = 100;105.600000;102.100000;94.500000;85.200000;101.100000;104.200000;106.700000;99.000000;84.000000
Energieversorgung ;2015 = 100;99.300000;92.900000;86.400000;80.800000;82.100000;95.700000;94.900000;95.900000;98.700000
;;;;;;;;;;
;;  2018  ;  2019  ;  2020  ;Aug. 20 ;Sep. 20 ;Okt. 20 ;Nov. 20 ;Dez. 20 ;Jan. 21 
;;;;;;;;;;
Energie- und Wasserversorgung2;;;;;;;;;;
Betriebe3 ........................................................................................................;Anzahl;2397;2380;2316;2314;2309;2308;2301;2285;2374
Beschäftigte3 ........................................................................................................;Anzahl;247479;250004;257683;259629;261864;260761;260974;259402;253189
Geleistete Arbeitsstunden ;1 000;368531;371316;385763;29953;33269;33544;34128;29205;31701
Bezahlte Entgelte ;Mill. EUR;14473.989;14985.559;15661.905;1180.171;1175.055;1277.068;1941.694;1254.911;1140.6
;;;;;;;;;;
Elektrizitätserzeugung der Elektrizitätsversorgungsunternehmen ;Mill. kWh;387499.606;333450.753;...;23891.939;25576.399;27217.735;29837.719;30726.455;...
;;;;;;;;;;
;;  2018  ;  2019  ;  2020  ;Aug. 20 ;Sep. 20 ;Okt. 20 ;Nov. 20 ;Dez. 20 ;Jan. 21 
;;;;;;;;;;
Verarbeitendes Gewerbe sowie Bergbau und Gewinnung von ;;;;;;;;;;
Steinen und Erden4;;;;;;;;;;
Tätige Personen3 ........................................................................................................;1 000;5662.168;5700.47;5571.249;5541.983;5556.869;5544.338;5536.387;5514.074;5473.834
Vorleistungsgüterproduzenten ;1 000;2120.35;2125.269;2074.829;2063.216;2068.252;2061.581;2057.597;2049.634;2034.254
Investitionsgüterproduzenten ;1 000;2498.573;2533.492;2474.333;2456.66;2463.62;2458.469;2455.361;2445.152;2419.802
Gebrauchsgüterproduzenten ;1 000;176.384;180.27;179.484;178.37;179.076;179.026;179.339;179.058;175.204
Verbrauchsgüterproduzenten ;1 000;828.941;828.735;810.756;812.12;814.281;813.75;812.655;808.92;813.316
Energie ;1 000;37.921;32.704;31.847;31.617;31.64;31.512;31.435;31.31;31.258
Bergbau und Gewinnung von Steinen und Erden ;1 000;32.084;26.892;25.974;25.836;25.796;25.732;25.582;25.432;24.732
Verarbeitendes Gewerbe ;1 000;5630.084;5673.578;5545.275;5516.147;5531.073;5518.606;5510.805;5488.642;5449.102
H.v. Nahrungs- und Futtermitteln ;1 000;446.829;455.561;455.065;457.297;458.755;459.141;458.89;456.808;461.748
Getränkeherstellung ;1 000;54.414;54.222;53.873;53.916;54.114;53.793;53.589;53.398;52.86
H.v. Papier, Pappe und Waren daraus  ;1 000;124.291;123.449;121.008;120.962;121.175;120.938;120.74;120.21;119.104
"H.v. Druckerzeugnissen; Vervielfältigung von bespielten ";;;;;;;;;;
Ton-, Bild- und Datenträgern ;1 000;72.414;70.367;67.118;66.687;66.193;65.837;65.378;64.922;62.296
