<< Inhaltsverzeichnis;;;;;;;;;
Statistische Wochenberichte;;;;;;;;;
;  2017  ;  2018  ;  2019  ;  2020  ;4. Vj 19;1. Vj 20;2. Vj 20;3. Vj 20;4. Vj 20
;;;;;;;;;
Volkswirtschaftliche Gesamtrechnungen;;;;;;;;;
;;;;;;;;;
A r b e i t n e h m e r e n t g e l t,  L ö h n e  u n d  G e h ä l t e r;;;;;;;;;
Mrd. EUR;;;;;;;;;
Arbeitnehmerentgelt im Inland ;1693.196;1770.856;1845.183;1839.357;503.879;444.248;436.723;455.045;503.341
Land- und Forstwirtschaft, Fischerei ;7.946;8.048;8.23;8.28;2.151;1.899;2.065;2.153;2.163
Produzierendes Gewerbe ohne Baugewerbe ;445.294;463.122;476.588;454.845;123.708;111.901;115.335;108.733;118.876
darunter: Verarbeitendes Gewerbe ;409.898;426.114;438.354;415.971;113.247;102.593;105.627;99.422;108.329
Baugewerbe ;80.276;84.62;89.31;92.46;24.4;21.071;23;23.206;25.183
Handel, Verkehr und Gastgewerbe ;297.433;312;327.257;316.998;89.546;76.816;71.803;82.457;85.922
Information und Kommunikation ;77.12;83.545;90.776;94.176;24.549;22.411;22.331;23.908;25.526
Finanz- und  Versicherungsdienstleister ;71.012;70.893;72.602;73.545;21.785;16.972;17.44;17.051;22.082
Grundstücks- und Wohnungswesen ;14.636;15.5;16.178;16.674;4.404;4.045;3.816;4.25;4.563
Unternehmensdienstleister ;205.72;218.306;222.078;217.941;60.251;54.816;50.27;53.901;58.954
Öffentliche  Dienstleister, Erziehung, Gesundheit ;428.574;447.1;471.112;493.486;133.194;116.284;114.72;122.321;140.161
Sonstige Dienstleister ;65.185;67.722;71.052;70.952;19.891;18.033;15.943;17.065;19.911
;;;;;;;;;
Bruttolöhne und -gehälter im Inland  ;1392.285;1460.046;1520.468;1507.241;416.117;364.763;354.536;373.925;414.017
Land- und Forstwirtschaft, Fischerei ;6.678;6.771;6.906;6.95;1.81;1.592;1.73;1.809;1.819
Produzierendes Gewerbe ohne Baugewerbe ;368.833;384.632;393.603;372.402;102.286;91.998;93.585;89.044;97.775
darunter: Verarbeitendes Gewerbe ;340.611;355.273;363.046;341.17;93.939;84.562;85.698;81.593;89.317
Baugewerbe ;67.468;71.236;75.026;77.604;20.52;17.671;19.248;19.516;21.169
Handel, Verkehr und Gastgewerbe ;251.3;263.782;276.039;265.016;75.66;64.459;59.288;69.274;71.995
Information und Kommunikation ;64.467;69.397;75.694;78.348;20.554;18.64;18.437;19.924;21.347
Finanz- und  Versicherungsdienstleister ;57.446;57.834;58.393;59.16;17.711;13.577;13.936;13.684;17.963
Grundstücks- und Wohnungswesen ;11.927;12.798;13.495;13.941;3.655;3.374;3.218;3.55;3.799
Unternehmensdienstleister ;170.173;182.441;189.208;184.321;51.393;46.548;42.044;45.681;50.048
Öffentliche  Dienstleister, Erziehung, Gesundheit ;339.79;354.682;372.928;390.895;105.987;91.925;90.029;97.301;111.64
Sonstige Dienstleister ;54.203;56.473;59.176;58.604;16.541;14.979;13.021;14.142;16.462
E r w e r b s t ä t i g k e i t;;;;;;;;;
Durchschnitt in 1 000;;;;;;;;;
Erwerbstätige im Inland ;44262;44868;45269;44782;45538;45066;44625;44646;44791
Land- und Forstwirtschaft, Fischerei ;615;608;599;578;573;555;617;597;546
Produzierendes Gewerbe ohne Baugewerbe ;8175;8311;8360;8169;8361;8255;8172;8129;8119
darunter: Verarbeitendes Gewerbe ;7594;7719;7758;7561;7749;7647;7567;7520;7507
Baugewerbe ;2479;2515;2552;2570;2583;2539;2558;2583;2601
Handel, Verkehr und Gastgewerbe ;10044;10179;10257;10030;10317;10173;9960;10003;9976
Information und Kommunikation ;1283;1326;1375;1391;1393;1395;1388;1389;1397
Finanz- und  Versicherungsdienstleister ;1130;1109;1096;1086;1101;1089;1083;1081;1086
Grundstücks- und Wohnungswesen ;473;477;481;478;482;479;477;478;478
Unternehmensdienstleister ;6139;6227;6201;6044;6227;6133;6011;6003;6036
Öffentliche  Dienstleister, Erziehung, Gesundheit ;10919;11105;11313;11473;11462;11451;11411;11428;11603
Sonstige Dienstleister ;3005;3011;3035;2963;3039;2997;2948;2955;2949
;;;;;;;;;
Arbeitnehmer im Inland ;39989;40645;41117;40784;41429;40992;40602;40666;40876
Land- und Forstwirtschaft, Fischerei ;352;355;358;359;338;326;396;379;338
Produzierendes Gewerbe ohne Baugewerbe ;7914;8058;8115;7934;8119;8018;7935;7895;7894
darunter: Verarbeitendes Gewerbe ;7344;7477;7525;7337;7519;7422;7341;7297;7293
Baugewerbe ;1996;2040;2085;2119;2121;2080;2104;2135;2158
Handel, Verkehr und Gastgewerbe ;9115;9271;9380;9215;9455;9327;9134;9201;9188
Information und Kommunikation ;1142;1188;1240;1264;1260;1263;1259;1262;1273
Finanz- und  Versicherungsdienstleister ;991;973;964;960;970;961;957;956;963
Grundstücks- und Wohnungswesen ;418;422;429;430;432;430;429;431;432
Unternehmensdienstleister ;5256;5342;5324;5183;5355;5262;5146;5142;5183
Öffentliche  Dienstleister, Erziehung, Gesundheit ;10253;10434;10637;10799;10788;10773;10738;10753;10933
Sonstige Dienstleister ;2552;2562;2585;2521;2591;2552;2504;2512;2514
;;;;;;;;;
;;;;;;;;;
Grundsätzlich sind die Ergebnisse der letzten 3 Jahre vorläufig.;;;;;;;;;
