<< Inhaltsverzeichnis;;;;;;;;;;
"Statistische Wochenberichte
Veränderungen in %";;;;;;;;;;
;Vergleich;;;;;;;;;
;4. Vj 19;1. Vj 20;2. Vj 20;3. Vj 20;4. Vj 20;4. Vj 19;1. Vj 20;2. Vj 20;3. Vj 20;4. Vj 20
;gegenüber Vorjahresquartal;;;;;gegenüber Vorquartal;;;;
;;;;;;;;;;
Finanzen und Steuern;;;;;;;;;;
;;;;;;;;;;
noch: Öffentlicher Gesamthaushalt1;;;;;;;;;;
;;;;;;;;;;
Kassenkredite2 beim;;;;;;;;;;
nicht-öffentlichen Bereich3;;;;;;;;;;
Öffentlicher Gesamthaushalt ;-5.408658;35.743808;81.04417;52.558699;50.936134;-11.186431;34.97782;37.429769;-7.399267;-12.131023
Bund ;-42.184144;24.377883;201.006462;158.735645;194.600842;-32.472962;80.318666;140.989836;-11.826282;-23.112557
Länder ;94.417097;220.239167;160.040837;40.442309;56.234175;-0.246412;53.801025;2.272636;-10.494288;10.970261
Gemeinden/Gemeindeverbände ;-7.124166;1.08052;0.253214;3.576345;-4.377594;-5.331536;9.109637;-1.063416;1.352679;-12.601412
Sozialversicherung4 ..................................................................................  ;X;X;X;X;X;X;X;X;X;X
;;;;;;;;;;
in den Ländern und Gemeinden/;;;;;;;;;;
Gemeindeverbänden zusammen;;;;;;;;;;
Baden-Württemberg ;27.845036;85.386819;50.826446;53.896104;20.833333;14.285714;22.537879;12.828439;-2.60274;-10.267229
Bayern ;40;156.643357;273.640167;37.681159;-39.365079;14.130435;16.507937;143.324251;-57.446809;-49.736842
Brandenburg ;-28.083028;-14.516129;-14.537445;-0.491803;43.633277;-3.442623;7.979626;-8.490566;4.295533;39.37397
Hessen ;-55.20362;-23.73581;-16.93462;90.252294;83.434343;-43.233945;49.292929;4.871448;114.064516;-45.268234
Mecklenburg-Vorpommern ;-7.017544;1.329787;-12.984055;-14.285714;-22.911051;-14.516129;2.695418;0.262467;-2.617801;-23.11828
Niedersachsen ;-9.57265;82.47203;90.562145;40;10.901071;-22.773723;115.816005;7.883212;-22.138024;-38.825165
Nordrhein-Westfalen ;-8.992575;-2.71624;2.533249;-2.643696;-7.06506;-4.148142;4.567855;2.590099;-5.319642;-8.501182
Rheinland-Pfalz ;8.367278;21.751026;19.603659;22.435413;5.011746;-3.535277;25.450274;-2.047441;3.2883;-17.26308
Saarland ;-12.199717;5.679012;-27.453469;-20.485744;-20.118026;-1.583949;14.806867;-19.859813;-12.186589;-1.128818
Sachsen ;-21.052632;285.869565;321.296296;193.80531;966.666667;-33.628319;373.333333;28.169014;-27.032967;140.963855
