<< Inhaltsverzeichnis;;;;;;;;;;
"Statistische Wochenberichte
Veränderungen in %";;;;;;;;;;
;Vergleich;;;;;;;;;
;  2018  ;  2019  ;Nov. 20 ;Dez. 20 ;Jan. 21 ;Feb. 21 ;Nov. 20 ;Dez. 20 ;Jan. 21 ;Feb. 21 
;gegenüber Vorjahr;;gegenüber Vorjahresmonat;;;;gegenüber Vormonat;;;
Finanzen und Steuern;;;;;;;;;;
Kassenmäßige Steuereinnahmen1;;;;;;;;;;
Bund ;4.201393;2.076414;-30.971964;-9.267258;-12.780501;-23.304248;-6.480774;153.014929;-61.353304;24.821236
Länder ;5.242241;3.330493;1.887678;0.23538;-9.959849;-5.756349;3.892246;76.942008;-43.348875;5.902446
EU-Eigenmittel2 .............................................................................................................;31.852827;8.159538;280.294335;130.148705;-13.986609;110.141434;76.194625;-26.890508;18.010184;61.096702
;;;;;;;;;;
;  2018  ;  2019  ;4. Vj 19;1. Vj 20;2. Vj 20;3. Vj 20;4. Vj 19;1. Vj 20;2. Vj 20;3. Vj 20
;gegenüber Vorjahr;;gegenüber Vorjahresquartal;;;;gegenüber Vorquartal;;;
;;;;;;;;;;
;;;;;;;;;;
Kassenmäßige Steuereinnahmen der Gemeinden1;;;;;;;;;;
Steuereinnahmen der Gemeinden insgesamt ;5.831622;3.164862;6.152143;-4.70705;-15.687703;-8.496599;36.558378;-49.899986;33.118198;0.471666
Grundsteuer A ;0.346498;0.338395;0.913493;0.735423;0.15892;0.859718;-23.677307;10.631274;9.212833;9.373592
Grundsteuer B ;1.739256;1.70379;1.618174;1.620332;0.369472;1.921163;-20.521773;6.56701;14.595793;5.00857
Gewerbesteuer, brutto ;5.637007;-0.775237;0.669265;-5.291224;-40.538382;-19.091485;8.642933;-2.629222;-33.973748;15.837044
Gewerbesteuerumlage (Ausgabe) ;5.719688;-9.853437;-12.867704;157.094595;-42.17512;-64.195405;68.646621;-95.583805;691.030616;-39.225756
;;;;;;;;;;
Gemeindeanteil an der Lohn- und Einkommensteuer3 ................................................................................................................ ;4.925226;4.948612;5.861991;-5.293123;5.292955;-11.63795;91.997048;-93.549208;768.130344;-17.818659
;;;;;;;;;;
;  2018  ;  2019  ;Okt. 20 ;Nov. 20 ;Dez. 20 ;Jan. 21 ;Okt. 20 ;Nov. 20 ;Dez. 20 ;Jan. 21 
;gegenüber Vorjahr;;gegenüber Vorjahresmonat;;;;gegenüber Vormonat;;;
;;;;;;;;;;
;;;;;;;;;;
Steuereinnahmen des Bundes, der Länder sowie EU-Eigenmittel  ;;;;;;;;;;
